               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  71,            0.029863,            0.013075,            0.003725,             0.99268,             0.99967,               0.995,             0.76233,            0.026231,           0.0057571,            0.001975,             0.00769,             0.00769,             0.00769
                  72,            0.030988,            0.013048,           0.0031945,             0.99497,                   1,               0.995,              0.6927,            0.029044,           0.0062102,           0.0019037,            0.007657,            0.007657,            0.007657
                  73,            0.031706,            0.015641,           0.0032926,             0.99242,                   1,               0.995,             0.70443,            0.031884,           0.0060541,           0.0017781,            0.007624,            0.007624,            0.007624
                  74,            0.033889,            0.012748,           0.0028795,             0.98631,             0.93343,               0.995,             0.73381,            0.028537,           0.0062913,           0.0017674,            0.007591,            0.007591,            0.007591
                  75,            0.028769,            0.014209,             0.00373,             0.93629,              0.9555,             0.98806,             0.80623,            0.025456,           0.0057202,           0.0017645,            0.007558,            0.007558,            0.007558
                  76,            0.027005,            0.014839,           0.0033327,             0.94611,             0.99849,               0.995,             0.81919,            0.029812,           0.0054235,           0.0017838,            0.007525,            0.007525,            0.007525
                  77,            0.029821,             0.01348,           0.0030073,             0.99052,             0.96429,             0.99063,             0.78898,            0.029125,           0.0053957,           0.0017896,            0.007492,            0.007492,            0.007492
                  78,            0.029748,            0.015452,           0.0040588,             0.90169,             0.94098,             0.97104,             0.80838,            0.029852,           0.0053614,           0.0043963,            0.007459,            0.007459,            0.007459
                  79,            0.030122,             0.01327,           0.0035711,              0.9869,             0.98573,               0.995,             0.81006,            0.024425,           0.0057546,           0.0022782,            0.007426,            0.007426,            0.007426
                  80,            0.031079,            0.013681,           0.0056985,               0.883,             0.95925,                0.97,             0.64892,            0.028009,           0.0062113,            0.005914,            0.007393,            0.007393,            0.007393
                  81,            0.031307,            0.013631,           0.0035428,               0.868,              0.9765,             0.99063,              0.7511,            0.025832,           0.0060724,           0.0058134,             0.00736,             0.00736,             0.00736
                  82,              0.0318,            0.013848,            0.004542,              0.9965,             0.94028,               0.995,              0.7554,            0.027191,           0.0057644,           0.0024279,            0.007327,            0.007327,            0.007327
                  83,            0.025493,            0.012231,           0.0039774,             0.95825,             0.96414,             0.98729,             0.80246,            0.019729,           0.0053219,           0.0034618,            0.007294,            0.007294,            0.007294
                  84,            0.028544,            0.016269,           0.0031368,             0.98095,             0.97178,               0.995,             0.77994,            0.024143,           0.0057446,           0.0030868,            0.007261,            0.007261,            0.007261
                  85,            0.029528,            0.014559,           0.0027059,             0.95156,             0.98831,             0.99167,             0.74446,            0.023606,           0.0056777,           0.0029039,            0.007228,            0.007228,            0.007228
                  86,             0.02753,            0.013991,           0.0039161,             0.94883,             0.99982,               0.995,             0.79819,            0.021551,           0.0058385,           0.0023153,            0.007195,            0.007195,            0.007195
                  87,            0.026146,            0.014488,           0.0028032,             0.98413,             0.99978,               0.995,             0.81217,            0.018367,             0.00557,           0.0018311,            0.007162,            0.007162,            0.007162
                  88,            0.025965,            0.013125,           0.0025647,             0.98554,             0.99983,               0.995,              0.7328,            0.028839,           0.0055983,           0.0018483,            0.007129,            0.007129,            0.007129
                  89,            0.028491,            0.013882,           0.0033562,             0.97975,                   1,               0.995,             0.78529,             0.02442,           0.0054975,           0.0019106,            0.007096,            0.007096,            0.007096
                  90,            0.029496,            0.016083,           0.0035067,             0.98743,                   1,               0.995,             0.81531,            0.022122,           0.0051366,           0.0021107,            0.007063,            0.007063,            0.007063
                  91,            0.023175,            0.011879,           0.0026924,             0.97761,             0.99988,               0.995,             0.86337,            0.017704,           0.0047522,            0.002282,             0.00703,             0.00703,             0.00703
                  92,            0.025478,            0.012214,           0.0031715,             0.94286,                   1,               0.995,             0.81998,            0.024674,           0.0050862,           0.0027959,            0.006997,            0.006997,            0.006997
                  93,            0.028056,            0.012483,            0.002926,             0.89158,                   1,               0.995,             0.73863,            0.026814,            0.005287,           0.0036797,            0.006964,            0.006964,            0.006964
                  94,              0.0253,            0.014781,           0.0030243,             0.91872,             0.99988,               0.995,             0.77232,             0.01856,           0.0051626,           0.0032723,            0.006931,            0.006931,            0.006931
